line_id,order_id,product_id,quantity,unit_price,line_total
L-000060,SO-00018,SKU-10030,20,530.12,10602.4
L-000061,SO-00019,SKU-10089,12,51.59,619.08
L-000062,SO-00019,SKU-10074,3,538.09,1614.27
L-000063,SO-00019,SKU-10081,2,265.89,531.78
L-000064,SO-00019,SKU-10004,20,106.0,2120.0
L-000065,SO-00019,SKU-10095,8,111.38,891.04
L-000066,SO-00019,SKU-10077,8,322.27,2578.16
L-000067,SO-00020,SKU-10065,12,264.22,3170.64
L-000068,SO-00020,SKU-10049,5,502.96,2514.8
L-000069,SO-00020,SKU-10005,2,224.72,449.44
L-000070,SO-00020,SKU-10088,2,65.38,130.76
L-000071,SO-00021,SKU-10034,2,563.77,1127.54
L-000072,SO-00021,SKU-10060,20,372.48,7449.6
L-000073,SO-00021,SKU-10017,1,249.8,249.8
L-000074,SO-00021,SKU-10011,5,74.25,371.25
L-000075,SO-00021,SKU-10028,1,382.07,382.07
L-000076,SO-00022,SKU-10028,4,424.52,1698.08
L-000077,SO-00023,SKU-10086,20,81.69,1633.8
L-000078,SO-00024,SKU-10000,1,239.6,239.6
L-000079,SO-00024,SKU-10032,4,265.26,1061.04
L-000080,SO-00024,SKU-10067,3,372.57,1117.71
L-000081,SO-00024,SKU-10073,20,250.02,5000.4
L-000082,SO-00024,SKU-10010,12,95.7,1148.4
L-000083,SO-00025,SKU-10095,12,111.38,1336.56
L-000084,SO-00025,SKU-10040,1,153.28,153.28
L-000085,SO-00025,SKU-10006,8,234.17,1873.36
L-000086,SO-00025,SKU-10029,5,343.98,1719.9
L-000087,SO-00025,SKU-10094,10,115.11,1151.1
L-000088,SO-00026,SKU-10007,2,155.04,310.08
L-000089,SO-00026,SKU-10067,2,372.57,745.14
L-000090,SO-00026,SKU-10080,10,147.63,1476.3
L-000091,SO-00026,SKU-10088,8,68.82,550.56
L-000092,SO-00026,SKU-10099,2,72.82,145.64
L-000093,SO-00027,SKU-10007,12,142.64,1711.68
L-000094,SO-00027,SKU-10002,12,96.09,1153.08
L-000095,SO-00027,SKU-10008,10,268.46,2684.6
L-000096,SO-00027,SKU-10093,4,69.93,279.72
L-000097,SO-00027,SKU-10013,2,162.6,325.2
L-000098,SO-00027,SKU-10009,1,247.97,247.97
L-000099,SO-00028,SKU-10081,1,239.3,239.3
L-000100,SO-00029,SKU-10087,8,53.0,424.0
L-000101,SO-00029,SKU-10070,4,103.73,414.92
L-000102,SO-00029,SKU-10076,1,601.02,601.02
L-000103,SO-00030,SKU-10066,1,199.42,199.42
L-000104,SO-00030,SKU-10037,12,422.36,5068.32
L-000105,SO-00030,SKU-10024,2,201.11,402.22
L-000106,SO-00030,SKU-10048,1,278.0,278.0
L-000107,SO-00030,SKU-10033,8,454.02,3632.16
L-000108,SO-00030,SKU-10080,1,147.63,147.63
L-000109,SO-00031,SKU-10044,2,400.29,800.58
L-000110,SO-00031,SKU-10013,2,154.47,308.94
L-000111,SO-00032,SKU-10074,1,597.88,597.88
L-000112,SO-00032,SKU-10047,20,107.83,2156.6
L-000113,SO-00032,SKU-10077,10,306.16,3061.6
L-000114,SO-00032,SKU-10089,2,53.28,106.56
L-000115,SO-00032,SKU-10059,2,109.44,218.88
L-000116,SO-00033,SKU-10017,1,257.94,257.94
L-000117,SO-00033,SKU-10033,3,477.92,1433.76
L-000118,SO-00033,SKU-10040,8,149.95,1199.6
L-000119,SO-00034,SKU-10021,4,220.71,882.84
L-000120,SO-00034,SKU-10005,20,249.69,4993.8
L-000121,SO-00034,SKU-10002,1,104.45,104.45
L-000122,SO-00034,SKU-10039,2,214.91,429.82
L-000123,SO-00034,SKU-10011,2,74.25,148.5
L-000124,SO-00034,SKU-10093,8,62.94,503.52
L-000125,SO-00035,SKU-10086,4,88.79,355.16
L-000126,SO-00035,SKU-10003,20,211.68,4233.6
L-000127,SO-00035,SKU-10009,2,275.52,551.04
L-000128,SO-00035,SKU-10013,4,162.6,650.4
L-000129,SO-00035,SKU-10031,2,55.2,110.4
L-000130,SO-00035,SKU-10061,2,297.48,594.96
L-000131,SO-00036,SKU-10000,2,239.6,479.2
L-000132,SO-00036,SKU-10044,1,368.27,368.27
L-000133,SO-00036,SKU-10077,2,322.27,644.54
L-000134,SO-00036,SKU-10079,2,662.39,1324.78
L-000135,SO-00036,SKU-10074,4,567.99,2271.96
L-000136,SO-00036,SKU-10059,1,103.97,103.97
L-000137,SO-00037,SKU-10094,8,105.9,847.2
L-000138,SO-00037,SKU-10013,2,154.47,308.94
L-000139,SO-00037,SKU-10048,10,278.0,2780.0
L-000140,SO-00038,SKU-10089,20,56.08,1121.6
L-000141,SO-00039,SKU-10057,8,181.59,1452.72
L-000142,SO-00039,SKU-10034,1,563.77,563.77
L-000143,SO-00040,SKU-10021,2,220.71,441.42
L-000144,SO-00040,SKU-10052,3,197.27,591.81
L-000145,SO-00040,SKU-10078,4,229.06,916.24
L-000146,SO-00041,SKU-10008,20,268.46,5369.2
L-000147,SO-00042,SKU-10004,3,106.0,318.0
L-000148,SO-00042,SKU-10013,5,154.47,772.35
L-000149,SO-00042,SKU-10045,2,494.59,989.18
L-000150,SO-00042,SKU-10070,8,101.48,811.84
L-000151,SO-00042,SKU-10093,5,64.34,321.7
L-000152,SO-00042,SKU-10032,1,238.73,238.73
L-000153,SO-00043,SKU-10051,2,259.7,519.4
L-000154,SO-00043,SKU-10057,2,191.15,382.3
L-000155,SO-00043,SKU-10019,20,109.79,2195.8
L-000156,SO-00043,SKU-10009,2,275.52,551.04
L-000157,SO-00044,SKU-10056,4,279.41,1117.64
L-000158,SO-00044,SKU-10083,1,305.85,305.85
L-000159,SO-00045,SKU-10018,5,282.24,1411.2
L-000160,SO-00045,SKU-10090,1,30.06,30.06
L-000161,SO-00046,SKU-10041,1,64.14,64.14
L-000162,SO-00046,SKU-10017,12,244.37,2932.44
L-000163,SO-00047,SKU-10028,10,382.07,3820.7
L-000164,SO-00047,SKU-10029,8,316.46,2531.68
L-000165,SO-00048,SKU-10048,8,278.0,2224.0
L-000166,SO-00049,SKU-10067,3,353.94,1061.82
L-000167,SO-00049,SKU-10055,5,225.57,1127.85
L-000168,SO-00049,SKU-10015,1,180.93,180.93
L-000169,SO-00049,SKU-10057,1,191.15,191.15
L-000170,SO-00049,SKU-10081,20,239.3,4786.0
L-000171,SO-00050,SKU-10084,20,481.72,9634.4
L-000172,SO-00051,SKU-10071,2,88.91,177.82
L-000173,SO-00051,SKU-10086,20,79.91,1598.2
L-000174,SO-00051,SKU-10002,4,104.45,417.8
L-000175,SO-00051,SKU-10077,10,322.27,3222.7
L-000176,SO-00052,SKU-10048,1,278.0,278.0
L-000177,SO-00052,SKU-10074,12,567.99,6815.88
L-000178,SO-00052,SKU-10081,3,265.89,797.67
L-000179,SO-00052,SKU-10066,5,221.58,1107.9
L-000180,SO-00052,SKU-10023,10,479.88,4798.8
L-000181,SO-00052,SKU-10067,8,342.76,2742.08
L-000182,SO-00053,SKU-10096,1,39.82,39.82
L-000183,SO-00053,SKU-10028,20,403.29,8065.8
L-000184,SO-00053,SKU-10057,10,191.15,1911.5
L-000185,SO-00054,SKU-10084,20,481.72,9634.4
L-000186,SO-00055,SKU-10085,12,516.97,6203.64
L-000187,SO-00056,SKU-10084,1,507.07,507.07
L-000188,SO-00056,SKU-10045,10,469.86,4698.6
L-000189,SO-00056,SKU-10064,1,78.04,78.04
L-000190,SO-00056,SKU-10094,1,115.11,115.11
L-000191,SO-00057,SKU-10001,1,101.43,101.43
L-000192,SO-00057,SKU-10009,1,275.52,275.52
L-000193,SO-00057,SKU-10010,3,95.7,287.1
L-000194,SO-00058,SKU-10041,12,57.73,692.76
L-000195,SO-00058,SKU-10098,2,54.19,108.38
L-000196,SO-00058,SKU-10019,8,109.79,878.32
L-000197,SO-00059,SKU-10094,4,105.9,423.6
L-000198,SO-00060,SKU-10065,5,243.08,1215.4
L-000199,SO-00061,SKU-10058,20,192.25,3845.0
L-000200,SO-00061,SKU-10036,3,385.26,1155.78
L-000201,SO-00061,SKU-10000,1,239.6,239.6
L-000202,SO-00061,SKU-10069,4,71.9,287.6
L-000203,SO-00061,SKU-10047,2,107.83,215.66
L-000204,SO-00062,SKU-10000,12,220.43,2645.16
L-000205,SO-00062,SKU-10065,2,264.22,528.44
L-000206,SO-00063,SKU-10016,2,278.76,557.52
L-000207,SO-00063,SKU-10042,12,98.01,1176.12
L-000208,SO-00063,SKU-10057,1,172.04,172.04
L-000209,SO-00063,SKU-10002,20,99.23,1984.6
L-000210,SO-00063,SKU-10011,1,66.83,66.83
L-000211,SO-00063,SKU-10014,20,198.57,3971.4
L-000212,SO-00064,SKU-10063,1,84.2,84.2
L-000213,SO-00064,SKU-10096,20,39.82,796.4
L-000214,SO-00064,SKU-10099,10,79.15,791.5
L-000215,SO-00064,SKU-10092,1,99.61,99.61
L-000216,SO-00064,SKU-10085,10,516.97,5169.7
L-000217,SO-00064,SKU-10017,1,257.94,257.94
L-000218,SO-00065,SKU-10072,8,132.96,1063.68
L-000219,SO-00065,SKU-10036,2,405.54,811.08
L-000220,SO-00065,SKU-10079,20,699.19,13983.8
L-000221,SO-00066,SKU-10058,12,202.37,2428.44
L-000222,SO-00066,SKU-10012,12,101.65,1219.8
L-000223,SO-00066,SKU-10050,20,54.93,1098.6
L-000224,SO-00066,SKU-10093,4,69.93,279.72
L-000225,SO-00066,SKU-10087,2,53.0,106.0
L-000226,SO-00066,SKU-10069,1,79.89,79.89
L-000227,SO-00067,SKU-10097,8,98.24,785.92
L-000228,SO-00067,SKU-10088,1,61.94,61.94
L-000229,SO-00067,SKU-10079,4,677.11,2708.44
L-000230,SO-00067,SKU-10049,10,502.96,5029.6
L-000231,SO-00068,SKU-10030,1,503.61,503.61
L-000232,SO-00068,SKU-10090,20,27.05,541.0
L-000233,SO-00069,SKU-10034,4,507.39,2029.56
L-000234,SO-00069,SKU-10049,2,502.96,1005.92
L-000235,SO-00069,SKU-10042,8,98.01,784.08
L-000236,SO-00069,SKU-10007,8,139.54,1116.32
L-000237,SO-00070,SKU-10055,1,250.63,250.63
L-000238,SO-00070,SKU-10063,2,91.52,183.04
L-000239,SO-00070,SKU-10051,1,259.7,259.7
L-000240,SO-00070,SKU-10077,2,322.27,644.54
L-000241,SO-00070,SKU-10043,3,596.35,1789.05
L-000242,SO-00071,SKU-10026,1,375.78,375.78
L-000243,SO-00071,SKU-10012,12,91.49,1097.88
L-000244,SO-00071,SKU-10001,1,101.43,101.43
L-000245,SO-00071,SKU-10099,3,75.19,225.57
L-000246,SO-00071,SKU-10002,10,104.45,1044.5
L-000247,SO-00071,SKU-10075,10,371.8,3718.0
L-000248,SO-00072,SKU-10002,4,104.45,417.8
L-000249,SO-00072,SKU-10098,10,54.19,541.9
L-000250,SO-00072,SKU-10091,12,84.34,1012.08
L-000251,SO-00073,SKU-10015,2,180.93,361.86
L-000252,SO-00073,SKU-10010,2,88.04,176.08
L-000253,SO-00073,SKU-10093,2,69.93,139.86
L-000254,SO-00073,SKU-10096,12,43.28,519.36
L-000255,SO-00074,SKU-10044,2,400.29,800.58
L-000256,SO-00074,SKU-10050,5,54.93,274.65
L-000257,SO-00074,SKU-10066,2,221.58,443.16
L-000258,SO-00075,SKU-10099,3,72.82,218.46
L-000259,SO-00075,SKU-10030,3,487.71,1463.13
L-000260,SO-00075,SKU-10012,2,101.65,203.3
L-000261,SO-00076,SKU-10071,1,86.1,86.1
L-000262,SO-00076,SKU-10019,10,101.01,1010.1
L-000263,SO-00076,SKU-10072,1,137.29,137.29
L-000264,SO-00076,SKU-10079,5,735.99,3679.95
L-000265,SO-00076,SKU-10028,20,424.52,8490.4
L-000266,SO-00077,SKU-10015,2,180.93,361.86
L-000267,SO-00077,SKU-10058,1,202.37,202.37
L-000268,SO-00078,SKU-10055,10,238.1,2381.0
L-000269,SO-00078,SKU-10048,5,278.0,1390.0
L-000270,SO-00078,SKU-10014,5,198.57,992.85
L-000271,SO-00078,SKU-10072,20,144.52,2890.4
L-000272,SO-00078,SKU-10067,10,372.57,3725.7
L-000273,SO-00079,SKU-10035,3,504.12,1512.36
L-000274,SO-00079,SKU-10079,2,699.19,1398.38
L-000275,SO-00079,SKU-10064,12,82.15,985.8
L-000276,SO-00080,SKU-10073,2,236.86,473.72
L-000277,SO-00080,SKU-10093,10,69.93,699.3
L-000278,SO-00080,SKU-10039,10,214.91,2149.1
L-000279,SO-00080,SKU-10009,1,261.74,261.74
L-000280,SO-00081,SKU-10088,5,61.94,309.7
L-000281,SO-00081,SKU-10059,8,109.44,875.52
L-000282,SO-00082,SKU-10080,1,140.25,140.25
L-000283,SO-00082,SKU-10026,3,408.46,1225.38
L-000284,SO-00082,SKU-10062,2,163.61,327.22
L-000285,SO-00082,SKU-10090,1,30.06,30.06
L-000286,SO-00082,SKU-10044,8,380.28,3042.24
L-000287,SO-00083,SKU-10092,1,104.85,104.85
L-000288,SO-00083,SKU-10072,3,130.07,390.21
L-000289,SO-00083,SKU-10095,2,117.24,234.48
L-000290,SO-00084,SKU-10059,8,109.44,875.52
L-000291,SO-00085,SKU-10011,3,74.25,222.75
L-000292,SO-00085,SKU-10056,20,294.12,5882.4
L-000293,SO-00085,SKU-10051,3,238.92,716.76
L-000294,SO-00085,SKU-10079,12,735.99,8831.88
L-000295,SO-00085,SKU-10098,1,54.19,54.19
L-000296,SO-00086,SKU-10083,12,332.45,3989.4
L-000297,SO-00086,SKU-10026,12,408.46,4901.52
L-000298,SO-00086,SKU-10076,1,653.28,653.28
L-000299,SO-00086,SKU-10015,2,171.88,343.76
L-000300,SO-00086,SKU-10080,1,147.63,147.63
L-000301,SO-00086,SKU-10047,3,117.21,351.63
L-000302,SO-00087,SKU-10039,8,226.22,1809.76
L-000303,SO-00087,SKU-10040,4,166.61,666.44
L-000304,SO-00088,SKU-10017,3,271.52,814.56
L-000305,SO-00088,SKU-10093,3,64.34,193.02
L-000306,SO-00088,SKU-10033,1,477.92,477.92
L-000307,SO-00088,SKU-10045,3,494.59,1483.77
L-000308,SO-00089,SKU-10056,3,294.12,882.36
L-000309,SO-00090,SKU-10034,3,507.39,1522.17
L-000310,SO-00090,SKU-10017,10,249.8,2498.0
L-000311,SO-00090,SKU-10072,4,144.52,578.08
L-000312,SO-00090,SKU-10049,5,477.81,2389.05
L-000313,SO-00090,SKU-10093,4,66.43,265.72
L-000314,SO-00090,SKU-10020,10,96.62,966.2
L-000315,SO-00091,SKU-10065,1,243.08,243.08
L-000316,SO-00092,SKU-10078,20,248.98,4979.6
L-000317,SO-00092,SKU-10067,4,372.57,1490.28
L-000318,SO-00092,SKU-10047,20,117.21,2344.2
L-000319,SO-00092,SKU-10030,4,477.11,1908.44
L-000320,SO-00093,SKU-10078,3,224.08,672.24
L-000321,SO-00093,SKU-10049,2,502.96,1005.92
L-000322,SO-00093,SKU-10008,10,268.46,2684.6
L-000323,SO-00093,SKU-10044,2,368.27,736.54
L-000324,SO-00093,SKU-10041,20,64.14,1282.8
L-000325,SO-00094,SKU-10001,2,101.43,202.86
L-000326,SO-00094,SKU-10047,12,105.49,1265.88
L-000327,SO-00095,SKU-10005,8,224.72,1797.76
L-000328,SO-00096,SKU-10005,5,229.71,1148.55
L-000329,SO-00097,SKU-10057,4,191.15,764.6
L-000330,SO-00098,SKU-10037,4,422.36,1689.44
L-000331,SO-00098,SKU-10069,5,79.89,399.45
L-000332,SO-00099,SKU-10050,4,56.15,224.6
L-000333,SO-00100,SKU-10083,4,332.45,1329.8
L-000334,SO-00100,SKU-10005,20,249.69,4993.8
L-000335,SO-00100,SKU-10034,12,563.77,6765.24
L-000336,SO-00100,SKU-10070,2,103.73,207.46
L-000337,SO-00100,SKU-10048,1,264.1,264.1
L-000338,SO-00100,SKU-10032,1,238.73,238.73
L-000339,SO-00101,SKU-10087,2,53.0,106.0
L-000340,SO-00101,SKU-10034,1,563.77,563.77
L-000341,SO-00101,SKU-10054,5,70.27,351.35
L-000342,SO-00102,SKU-10000,12,220.43,2645.16
L-000343,SO-00102,SKU-10010,4,90.91,363.64
L-000344,SO-00103,SKU-10088,2,63.31,126.62
L-000345,SO-00103,SKU-10044,1,368.27,368.27
L-000346,SO-00103,SKU-10030,3,477.11,1431.33
L-000347,SO-00103,SKU-10099,1,71.24,71.24
L-000348,SO-00103,SKU-10033,2,477.92,955.84
L-000349,SO-00104,SKU-10041,2,60.93,121.86
L-000350,SO-00104,SKU-10081,4,265.89,1063.56
L-000351,SO-00104,SKU-10055,5,238.1,1190.5
L-000352,SO-00105,SKU-10032,2,265.26,530.52
L-000353,SO-00105,SKU-10002,8,99.23,793.84
L-000354,SO-00105,SKU-10090,1,27.66,27.66
L-000355,SO-00105,SKU-10074,8,597.88,4783.04
L-000356,SO-00106,SKU-10067,4,342.76,1371.04
L-000357,SO-00106,SKU-10099,12,71.24,854.88
L-000358,SO-00106,SKU-10061,10,297.48,2974.8
L-000359,SO-00106,SKU-10081,1,265.89,265.89
L-000360,SO-00106,SKU-10032,8,265.26,2122.08
L-000361,SO-00106,SKU-10055,8,250.63,2005.04
L-000362,SO-00107,SKU-10077,1,296.49,296.49
L-000363,SO-00107,SKU-10023,8,479.88,3839.04
L-000364,SO-00107,SKU-10049,20,452.66,9053.2
L-000365,SO-00107,SKU-10037,1,400.13,400.13
L-000366,SO-00107,SKU-10038,1,467.26,467.26
L-000367,SO-00107,SKU-10069,1,79.89,79.89
L-000368,SO-00108,SKU-10047,2,105.49,210.98
L-000369,SO-00108,SKU-10006,8,222.46,1779.68
L-000370,SO-00108,SKU-10091,20,87.09,1741.8
L-000371,SO-00108,SKU-10059,3,109.44,328.32
L-000372,SO-00109,SKU-10056,3,270.59,811.77
L-000373,SO-00109,SKU-10057,1,191.15,191.15
L-000374,SO-00109,SKU-10038,2,491.85,983.7
L-000375,SO-00109,SKU-10053,3,48.9,146.7
L-000376,SO-00109,SKU-10016,1,256.46,256.46
L-000377,SO-00110,SKU-10011,8,70.54,564.32
L-000378,SO-00110,SKU-10073,4,263.18,1052.72
L-000379,SO-00111,SKU-10099,12,72.82,873.84
L-000380,SO-00111,SKU-10098,2,54.19,108.38
L-000381,SO-00111,SKU-10023,4,479.88,1919.52
L-000382,SO-00111,SKU-10000,3,239.6,718.8
L-000383,SO-00111,SKU-10048,1,278.0,278.0
L-000384,SO-00112,SKU-10081,2,265.89,531.78
L-000385,SO-00112,SKU-10070,1,107.11,107.11
L-000386,SO-00113,SKU-10006,5,222.46,1112.3
L-000387,SO-00113,SKU-10049,10,502.96,5029.6
L-000388,SO-00113,SKU-10046,20,202.79,4055.8
L-000389,SO-00113,SKU-10015,2,171.88,343.76
L-000390,SO-00113,SKU-10044,1,400.29,400.29
L-000391,SO-00114,SKU-10005,1,224.72,224.72
L-000392,SO-00114,SKU-10047,3,107.83,323.49
L-000393,SO-00114,SKU-10043,3,596.35,1789.05
L-000394,SO-00114,SKU-10032,1,265.26,265.26
L-000395,SO-00114,SKU-10066,10,221.58,2215.8
L-000396,SO-00114,SKU-10082,2,361.3,722.6
L-000397,SO-00115,SKU-10080,10,147.63,1476.3
L-000398,SO-00116,SKU-10017,5,271.52,1357.6
L-000399,SO-00116,SKU-10081,4,252.6,1010.4
L-000400,SO-00117,SKU-10099,8,75.19,601.52
L-000401,SO-00117,SKU-10096,2,43.28,86.56
L-000402,SO-00117,SKU-10064,4,75.58,302.32
L-000403,SO-00117,SKU-10017,2,271.52,543.04
L-000404,SO-00118,SKU-10033,5,477.92,2389.6
L-000405,SO-00118,SKU-10008,1,268.46,268.46
L-000406,SO-00118,SKU-10046,8,220.42,1763.36
L-000407,SO-00119,SKU-10081,10,252.6,2526.0
L-000408,SO-00119,SKU-10052,1,214.42,214.42
L-000409,SO-00119,SKU-10054,5,68.74,343.7
L-000410,SO-00120,SKU-10029,10,326.78,3267.8
L-000411,SO-00120,SKU-10041,5,64.14,320.7
L-000412,SO-00120,SKU-10089,10,51.59,515.9
L-000413,SO-00121,SKU-10056,20,279.41,5588.2
L-000414,SO-00121,SKU-10025,3,150.56,451.68
L-000415,SO-00121,SKU-10091,10,91.67,916.7
L-000416,SO-00122,SKU-10074,5,538.09,2690.45
L-000417,SO-00122,SKU-10081,1,265.89,265.89
L-000418,SO-00122,SKU-10037,2,400.13,800.26
L-000419,SO-00123,SKU-10006,12,210.75,2529.0
L-000420,SO-00123,SKU-10023,2,441.49,882.98
L-000421,SO-00123,SKU-10022,12,458.78,5505.36
L-000422,SO-00124,SKU-10084,1,481.72,481.72
L-000423,SO-00124,SKU-10039,12,226.22,2714.64
L-000424,SO-00124,SKU-10035,1,504.12,504.12
L-000425,SO-00124,SKU-10012,2,96.57,193.14
L-000426,SO-00124,SKU-10044,5,400.29,2001.45
L-000427,SO-00124,SKU-10010,3,88.04,264.12
L-000428,SO-00125,SKU-10028,4,424.52,1698.08
L-000429,SO-00125,SKU-10074,8,538.09,4304.72
L-000430,SO-00125,SKU-10087,2,48.76,97.52
L-000431,SO-00125,SKU-10097,4,90.38,361.52
L-000432,SO-00125,SKU-10053,1,44.99,44.99
L-000433,SO-00126,SKU-10002,8,96.09,768.72
L-000434,SO-00126,SKU-10023,3,441.49,1324.47
L-000435,SO-00126,SKU-10017,12,271.52,3258.24
L-000436,SO-00127,SKU-10090,2,30.06,60.12
L-000437,SO-00127,SKU-10005,1,224.72,224.72
L-000438,SO-00127,SKU-10000,12,220.43,2645.16
L-000439,SO-00128,SKU-10091,4,91.67,366.68
L-000440,SO-00128,SKU-10005,4,249.69,998.76
L-000441,SO-00129,SKU-10091,20,91.67,1833.4
L-000442,SO-00129,SKU-10004,1,100.7,100.7
L-000443,SO-00130,SKU-10082,10,325.17,3251.7
L-000444,SO-00131,SKU-10006,2,210.75,421.5
L-000445,SO-00131,SKU-10048,1,278.0,278.0
L-000446,SO-00131,SKU-10003,10,211.68,2116.8
L-000447,SO-00131,SKU-10028,10,382.07,3820.7
L-000448,SO-00131,SKU-10099,4,79.15,316.6
L-000449,SO-00132,SKU-10053,1,48.9,48.9
L-000450,SO-00132,SKU-10063,12,84.2,1010.4
L-000451,SO-00133,SKU-10006,12,234.17,2810.04
L-000452,SO-00134,SKU-10090,8,27.66,221.28
L-000453,SO-00134,SKU-10034,3,535.58,1606.74
L-000454,SO-00134,SKU-10035,8,504.12,4032.96
L-000455,SO-00134,SKU-10085,12,516.97,6203.64
L-000456,SO-00135,SKU-10098,5,54.19,270.95
L-000457,SO-00135,SKU-10030,1,530.12,530.12
L-000458,SO-00135,SKU-10094,2,115.11,230.22
L-000459,SO-00135,SKU-10079,2,735.99,1471.98
L-000460,SO-00136,SKU-10045,5,445.13,2225.65
L-000461,SO-00136,SKU-10015,20,180.93,3618.6
L-000462,SO-00136,SKU-10068,10,226.69,2266.9
L-000463,SO-00136,SKU-10079,4,735.99,2943.96
L-000464,SO-00136,SKU-10074,20,567.99,11359.8
L-000465,SO-00137,SKU-10094,5,115.11,575.55
L-000466,SO-00137,SKU-10016,1,250.88,250.88
L-000467,SO-00137,SKU-10017,2,271.52,543.04
L-000468,SO-00138,SKU-10079,12,735.99,8831.88
L-000469,SO-00138,SKU-10044,12,380.28,4563.36
L-000470,SO-00139,SKU-10035,1,504.12,504.12
L-000471,SO-00139,SKU-10078,1,248.98,248.98
L-000472,SO-00140,SKU-10060,5,360.71,1803.55
L-000473,SO-00140,SKU-10031,2,60.0,120.0
L-000474,SO-00140,SKU-10035,12,478.91,5746.92
L-000475,SO-00140,SKU-10051,8,246.71,1973.68
L-000476,SO-00140,SKU-10017,8,249.8,1998.4
L-000477,SO-00141,SKU-10029,12,343.98,4127.76
L-000478,SO-00142,SKU-10008,5,241.61,1208.05
L-000479,SO-00142,SKU-10098,2,54.19,108.38
L-000480,SO-00142,SKU-10088,5,68.82,344.1
L-000481,SO-00143,SKU-10020,2,107.36,214.72
L-000482,SO-00143,SKU-10067,5,372.57,1862.85
L-000483,SO-00143,SKU-10017,8,271.52,2172.16
L-000484,SO-00144,SKU-10011,1,74.25,74.25
L-000485,SO-00144,SKU-10080,1,132.87,132.87
L-000486,SO-00144,SKU-10040,20,166.61,3332.2
L-000487,SO-00144,SKU-10070,12,107.11,1285.32
L-000488,SO-00144,SKU-10090,12,30.06,360.72
L-000489,SO-00145,SKU-10028,12,390.56,4686.72
L-000490,SO-00146,SKU-10013,12,146.34,1756.08
